Fruits,Min Temp (F),Max Temp (F),Freezing Point (F),Min Humidity (%),Max Humidity (%),Min Storage Life (days),Max Storage Life (days),Average Shelf Life (days)
0 Apple,32,40,28-30,90-95,90-95,90,365,21-28
1 Atis,55,60,50,85-90,85-90,7,14-21,7-14
2 Banana,56-59,60-68,50,90-95,90-95,7-10,28,7-10
3 Grapes,30-32,40-45,30,90-95,90-95,7,28,7
4 Lanzones,-,-,30,-,-,-,-,-
5 Mango,55,60,30,85-90,85-90,10,21,10-14
6 Orange,33-41,60-70,28-29,85-90,85-90,14,84,14-28
7 Rambutan,-,-,30,-,-,-,-,-
8 Strawberry,32,33-36,30,90-95,90-95,7,14,7-10
0 Watermelon,50-60,60-70,30,80-90,80-95,14,28,14-21
